,,,,,,,,,,,,,,,,,,,,,
Finished Left End(Outer),717.00,539.20,717.00,539.20,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,1,FMD2-500X560X720-1,1,220236,r33b0001,,PO-0587,JK-1
Unfinished Right End(inner),719.40,541.60,719.40,541.60,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,1,FMD2-500X560X720-1,2,220236,r33b0002,,PO-0587,JK-2
Unfinished Back(Back),717.00,1607.00,717.00,1607.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,1,FMD2-500X560X720-1,3,220236,r33b0003,,PO-0587,JK-3
Top,464.00,541.60,464.00,541.60,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,1,FMD2-500X560X720-1,4,220236,,r33f0004,PO-0587,JK-4
Deck(Bottom),464.00,541.60,464.00,541.60,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,1,FMD2-500X560X720-1,5,220236,,r33f0005,PO-0587,JK-5
Drawer Stretcher(member),464.00,99.40,464.00,99.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,1,FMD2-500X560X720-1,6,220236,r33b0006,,PO-0587,JK-6
Door Slab,355.00,495.00,355.00,495.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,1,FMD2-500X560X720-1,7,220236,,,PO-0587,JK-7
Drawer Box Bottom,476.80,415.40,476.80,415.40,1,0,6MM BWR 22291+22291,,,,,KITCHEN,1,1,FMD2-500X560X720-1,8,220236,,,PO-0587,JK-8
Drawer Box Side,499.40,303.00,499.40,303.00,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,1,FMD2-500X560X720-1,9,220236,r33b0009,,PO-0587,JK-9
Drawer Box Back,402.80,303.00,402.80,303.00,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,1,FMD2-500X560X720-1,11,220236,r33b0011,r33f0011,PO-0587,JK-10
